index,Decision Tree,Random forest,AdaBoosting,Random forest 2,Xboosting
time_to_approve,0.003963469089100078,0.1331631825691652,0.04,0.13324243235006716,0.0025346219
price,0.000770383537691569,0.10489799072037685,0.02,0.10504058858580291,0.0031250587
freight_value,0.0030442134526636818,0.10660980437936704,0.14,0.10635367489843238,0.003614429
product_weight_g,0.0007389572536599822,0.0897408903442708,0.06,0.08976538030864341,0.0034152463
product_category_name,0.0,0.06075351696102804,0.08,0.06089659328124734,0.00460736
whole_delivery_time,0.08744043559939739,0.12591419499651796,0.36,0.12404599422529845,0.0166226
late_delivery,0.5540686963908864,0.08240218564987646,0.08,0.0838115913677327,0.75636333
same_location,0.0024393450864745956,0.007254828340227634,0.02,0.007231158796067172,0.00965515
no_delivered,0.3391984538866817,0.02969881949060321,0.04,0.029688792070437228,0.18560566
volume,0.004789617049590283,0.10021771362335163,0.14,0.10033903943873797,0.0042833984
freight_higher_mean,0.0,0.0054753817882926305,0.0,0.005394768874298609,0.0
priceless,0.0,0.006073543458684785,0.0,0.006005806161961155,0.0
heavy,0.0,0.006135148496253195,0.0,0.006130927872252001,0.0
month,0.0009351204257856001,0.07367622394722956,0.02,0.07350188393164761,0.0030821476
day,0.002611308228068892,0.06363903623824606,0.0,0.06418179792707314,0.0036368817
closer,0.0,0.004347538996508811,0.0,0.004369569910300747,0.003454082
